,Unnamed: 0,Species,Atlas,Tissue,Status,Platform,Seq-type,Year,Accession,Link,Datasets,DOI,DatasetsURL,share
12,13,Human,Adult,Spinal cord,Multiple sclerosis,Drop-seq,scRNA-seq,2020,GSE130105,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130105,human_mouse_brain_Wheeler_2020_DropSeq_10x,10.1038/s41586-020-1999-0,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVzytB0gNKRAqoLDShD73XwB34HnTvWFDX6orpHjATke2g?e=45dZYq,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVzytB0gNKRAqoLDShD73XwB34HnTvWFDX6orpHjATke2g?e=45dZYq&Download=1
13,14,Human,Adult,Brain,Multiple sclerosis,Drop-seq,scRNA-seq,2020,GSE130105,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130105,human_mouse_brain_Wheeler_2020_DropSeq_10x,10.1038/s41586-020-1999-0,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVzytB0gNKRAqoLDShD73XwB34HnTvWFDX6orpHjATke2g?e=45dZYq,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVzytB0gNKRAqoLDShD73XwB34HnTvWFDX6orpHjATke2g?e=45dZYq&Download=1
14,15,Human,Adult,Brain vasculature,Alzheimer's disease,Chromium,snRNA-seq,2022,,http://compbio.mit.edu/scADbbb/,human_brain_CV_SunN_2022_10x,10.1101/2022.02.09.479797,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eb8Q8VdiF4hOuw04HTHErN8B-pQ3dANEsqq4krVW8A3cyg?e=Kz89IC,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eb8Q8VdiF4hOuw04HTHErN8B-pQ3dANEsqq4krVW8A3cyg?e=Kz89IC&Download=1
15,16,Human,Adult,Whole brain,Healthy,Chromium,snRNA-seq,2022,SCR_015820,https://scicrunch.org/scicrunch/Resources/record/nlx_144509-1/SCR_015820/resolver,human_brain_wholebrain_Siletti_2022_10x,10.1101/2022.10.12.511898,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdvR2m8wJ4RFv0bbyLngk8sB28vhb40riJ_dlFXldUQbTA?e=pNgzxc,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdvR2m8wJ4RFv0bbyLngk8sB28vhb40riJ_dlFXldUQbTA?e=pNgzxc&Download=1
16,17,Human,Adult,Cerebral cortex,Healthy,Chromium,snRNA-seq,2021,jhpce#tran2021,https://github.com/LieberInstitute/10xPilot_snRNAseq-human,human_brain_source_Tran_2021,10.1016/j.neuron.2021.09.001,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT&Download=1
17,18,Human,Adult,Basal ganglia,Healthy,Chromium,snRNA-seq,2021,jhpce#tran2021,https://github.com/LieberInstitute/10xPilot_snRNAseq-human,human_brain_source_Tran_2021,10.1016/j.neuron.2021.09.001,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT&Download=1
18,19,Human,Adult,Hippocampus,Healthy,Chromium,snRNA-seq,2021,jhpce#tran2021,https://github.com/LieberInstitute/10xPilot_snRNAseq-human,human_brain_source_Tran_2021,10.1016/j.neuron.2021.09.001,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT&Download=1
19,20,Human,Adult,Amygdala,Healthy,Chromium,snRNA-seq,2021,jhpce#tran2021,https://github.com/LieberInstitute/10xPilot_snRNAseq-human,human_brain_source_Tran_2021,10.1016/j.neuron.2021.09.001,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVp3aooMZqxHvIz_xivsEDEBHf4kt27yNm-9B0xZBPECsg?e=PoYNtT&Download=1
20,21,Human,Adult,Cerebral cortex,Healthy,Smart-seq v4,scRNA-seq,2019,Human Multiple Cortical Areas Smart-seq,https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-Smart-seq,human_brain_MultipleCorticalAreas_AllenBrain_2019_SMART-Seq,https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-Smart-seq,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eat0QxgtKhVCkOh0x-1ObrABVRlfyuTt2No33b_80tZujQ?e=dd1M8O,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eat0QxgtKhVCkOh0x-1ObrABVRlfyuTt2No33b_80tZujQ?e=dd1M8O&Download=1
21,22,Human,Adult,Motor cortex,Healthy,Chromium,snRNA-seq,2020,Human M1 10x,https://portal.brain-map.org/atlases-and-data/rnaseq/human-m1-10x,human_brain_motor cortex_AllenBrain_2020_10x,https://portal.brain-map.org/atlases-and-data/rnaseq/human-m1-10x,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcMNfjcwdwpFuQ4XjOLx64YBv9Vo6EGrP-42-hfJ-aE8aA?e=hYeNTi,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcMNfjcwdwpFuQ4XjOLx64YBv9Vo6EGrP-42-hfJ-aE8aA?e=hYeNTi&Download=1
22,23,Human,Adult,Prefrontal cortex,Multiple sclerosis,Chromium,snRNA-seq,2022,GSE179590,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179590,human_brain_PFC_Kihara_2022_10x,10.3389/fncel.2022.918041,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERF7CJgU_FdAmbDoHOtSDZ8BRD78rLaTlxqi1IEEuS2dKw?e=0daBXW,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERF7CJgU_FdAmbDoHOtSDZ8BRD78rLaTlxqi1IEEuS2dKw?e=0daBXW&Download=1
23,24,Human,Organoid,Cerebral cortex,Development,Chromium,snRNA-seq,2021,GSE163018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163018,human_brain_CorticalOrganoids_Ziffra_2021_ATAC-seq_10x,10.1038/s41586-021-03209-8,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQbqbKb3uWhDiN1LsnJkTdYBE_V-p0lHwxksVTi2y5VjCA?e=k5zZ31,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQbqbKb3uWhDiN1LsnJkTdYBE_V-p0lHwxksVTi2y5VjCA?e=k5zZ31&Download=1
24,25,Human,Fetal,Cerebellum,Development,Split-seq,scRNA-seq,2021,,https://www.covid19cellatlas.org/aldinger20/,human_brain_FetalCerebellum_Aldinger_2021_SPLiT-seq,10.1038/s41593-021-00872-y,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWdzMpdL1AlKtoBt6VMQxO8BpCFD9h99VrUi5OV_rTxAdw?e=uquhE3,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWdzMpdL1AlKtoBt6VMQxO8BpCFD9h99VrUi5OV_rTxAdw?e=uquhE3&Download=1
25,26,Human,Fetal,Ganglionic eminences,Development,Chromium,scRNA-seq,2021,GSE165388,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165388,human_brain_fetal_Yu_2021_10x,10.1038/s41593-021-00940-3,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcNNaMAXFctAhoXd1J5XaYUBpKhRIthJuEHvtm5iBw-Wng?e=JY8Hji,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcNNaMAXFctAhoXd1J5XaYUBpKhRIthJuEHvtm5iBw-Wng?e=JY8Hji&Download=1
26,27,Human,Adult,Prefrontal cortex,Alzheimer's disease,Chromium,snRNA-seq,2020,GSE157827,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157827,human_brain_Lau_2020_10x,10.1073/pnas.2008762117,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ef4JQFtmDHJFgtAZHtXEXsEBBINFSvqV5HvypAct_pTD3A?e=SFWI2U,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ef4JQFtmDHJFgtAZHtXEXsEBBINFSvqV5HvypAct_pTD3A?e=SFWI2U&Download=1
27,28,Human,Adult,Midbrain,Parkinson's disease,Chromium,snRNA-seq,2021,GSE157783,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157783,human_brain_microglia_midbrain_Smajic_2022_10x,10.1093/brain/awab446,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWD_v5hIjP5MiqQ2cFIuu1kBQqu-Upaz8I3wOIf5u1tDFA?e=iw0IbD,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWD_v5hIjP5MiqQ2cFIuu1kBQqu-Upaz8I3wOIf5u1tDFA?e=iw0IbD&Download=1
28,29,Human,Adult,Prefrontal cortex,Alzheimer's disease,Chromium,snRNA-seq,2022,GSE129308,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129308,human_brain_Otero-Garcia_2022_10x,10.1016/j.neuron.2022.06.021,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfL1Oz8neIxKg844LxX5YE4Bx9kmS5oe29IMP_a4UKWsXQ?e=yn9YCa,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfL1Oz8neIxKg844LxX5YE4Bx9kmS5oe29IMP_a4UKWsXQ?e=yn9YCa&Download=1
29,30,Human,Fetal,Brain,Development,Smart-seq2,scRNA-seq,2020,GSE141862,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141862,human_brain_Microglia_Kracht_2020_Smartseq2,10.1126/science.aba5906,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcUUNxgVLqlIlCiqCLh2sRMBmun1mlqn--5TnpHUZWePlg?e=5wNelr,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcUUNxgVLqlIlCiqCLh2sRMBmun1mlqn--5TnpHUZWePlg?e=5wNelr&Download=1
30,31,Human,Fetal,Spinal cord,Development,Smart-seq2,scRNA-seq,2020,GSE141862,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141862,human_brain_Microglia_Kracht_2020_Smartseq2,10.1126/science.aba5906,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcUUNxgVLqlIlCiqCLh2sRMBmun1mlqn--5TnpHUZWePlg?e=5wNelr,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcUUNxgVLqlIlCiqCLh2sRMBmun1mlqn--5TnpHUZWePlg?e=5wNelr&Download=1
31,32,Human,Organoid,Organoid,Organoid growth,Chromium,scRNA-seq,2021,GSE168323,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168323,human_brain_organoids_Fiorenzano_2021_10x,10.1038/s41467-021-27464-5,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZYZFdBBfZdKnfQqe58QeQ0BvVk5-7VolhfSuMhPrt9lmA?e=TLHMXD,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZYZFdBBfZdKnfQqe58QeQ0BvVk5-7VolhfSuMhPrt9lmA?e=TLHMXD&Download=1
32,33,Human,Organoid,Organoid,Organoid growth,Chromium,scRNA-seq,2022,GSE190815,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190815,human_brain_organoids_Revah_2022_10x,10.1038/s41586-022-05277-w,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ec2bDEnFNepMhQkLsOp4_T8B4iE2r-FtqMKX7Z1tFFLssQ?e=jLfCpZ,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Ec2bDEnFNepMhQkLsOp4_T8B4iE2r-FtqMKX7Z1tFFLssQ?e=jLfCpZ&Download=1
33,34,Human,Adult,Prefrontal cortex,Major depressive disorder,Chromium,snRNA-seq,2020,GSE144136,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144136,human_brain_source_Nagy_2020,10.1038/s41593-020-0621-y,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQEAbn6rcBJMv78PWARcSmIBu1-aWlA1VL5duY9zc1vI1A?e=yc7fCe,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQEAbn6rcBJMv78PWARcSmIBu1-aWlA1VL5duY9zc1vI1A?e=yc7fCe&Download=1
34,35,Human,Adult,Hippocampus,Healthy,Chromium,snRNA-seq,2021,GSE160189,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160189,human_brain_source_Fatma_2020,10.1016/j.neuron.2021.05.003,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWdzgj0mqtVAovd_9X-4kTgBffTCkMbeLSIx8LpiUUvv1A?e=PXkiEE,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWdzgj0mqtVAovd_9X-4kTgBffTCkMbeLSIx8LpiUUvv1A?e=PXkiEE&Download=1
35,36,Human,Tumour,Tumour,Glioma,Chromium,scRNA-seq,2020,GSE139448,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139448,human_brain_radialglia_WangR_2020_10x,10.1016/j.stemcr.2020.01.007,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETZCN2TqUxlKk4lGYYkHuRMBFibdBhrb5XTqzEy3wjdYUA?e=pDotSN,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETZCN2TqUxlKk4lGYYkHuRMBFibdBhrb5XTqzEy3wjdYUA?e=pDotSN&Download=1
36,37,Human,Adult,Prefrontal cortex,Alzheimer's disease,Chromium,snRNA-seq,2022,GSE167494,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167494,human_brain_Sadick_2022_10x,10.1016/j.neuron.2022.03.008,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYB6SXyGojlFs4LFgpfVtgkBfD69fUVX8qfBllUsZQChzQ?e=Wia2lf,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYB6SXyGojlFs4LFgpfVtgkBfD69fUVX8qfBllUsZQChzQ?e=Wia2lf&Download=1
37,38,Human,Adult,Cerebral cortex,Healthy,Drop-seq,snRNA-seq,2017,GSE97930,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97930,human_brain_FC_Cerebellum_Lake_2017_snDrop-Seq,10.1038/nbt.4038,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYlvpVq3Cb1OmGTnUlcVqvoBo3dvbPoTSmTIqGTuOD_EyQ?e=Ke9Ja2,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYlvpVq3Cb1OmGTnUlcVqvoBo3dvbPoTSmTIqGTuOD_EyQ?e=Ke9Ja2&Download=1
38,39,Human,Adult,Cerebellum,Healthy,Drop-seq,snRNA-seq,2017,GSE97930,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97930,human_brain_FC_Cerebellum_Lake_2017_snDrop-Seq,10.1038/nbt.4038,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYlvpVq3Cb1OmGTnUlcVqvoBo3dvbPoTSmTIqGTuOD_EyQ?e=Ke9Ja2,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYlvpVq3Cb1OmGTnUlcVqvoBo3dvbPoTSmTIqGTuOD_EyQ?e=Ke9Ja2&Download=1
39,40,Human,Tumour,Tumour,Glioma,Smart-seq2,scRNA-seq,2019,GSE131928,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131928,human_brain_GBM_Neftel_2019_Smartseq2_10x,10.1016/j.cell.2019.06.024,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eam8odWTsctHqgHLnLRhNAEBr-BCI0VoHbEiX3cKkBC_jQ?e=Xl40gA,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Eam8odWTsctHqgHLnLRhNAEBr-BCI0VoHbEiX3cKkBC_jQ?e=Xl40gA&Download=1
40,41,Human,Tumour,Tumour,Glioma,Microwell-seq,scRNA-seq,2018,GSE103224,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103224,human_brain_glioma_Yuan_2018_Microwell,10.1186/s13073-018-0567-9,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EbTUnIg3rRRAghQEAHMG_DoBmDa8BGu0D_Ns0XnAg045rg?e=NyDRZd,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EbTUnIg3rRRAghQEAHMG_DoBmDa8BGu0D_Ns0XnAg045rg?e=NyDRZd&Download=1
